Index,Index,Force_heel,Position_thigh,Velocity_thigh,Position_torso,Velocity_torso
0.403571689,0.914948027,74.72889709,0.073988602,-0.440284997,0.010249372,-0.077073365
0.391660359,0.920109865,76.95056915,0.07099659,-0.43230328,0.010788188,-0.069091678
0.37968302,0.925116644,76.95056915,0.068080753,-0.419532597,0.011281954,-0.061109982
0.367641694,0.929967518,77.55648041,0.06515003,-0.418468356,0.011786404,-0.058449417
0.355538418,0.934661668,77.55648041,0.062167365,-0.419000477,0.012272164,-0.052596174
0.343375219,0.939198306,78.97026825,0.059366729,-0.413679332,0.012859878,-0.046210822
0.331154153,0.943576667,78.97026825,0.056628279,-0.413147241,0.013424104,-0.045146596
0.318877286,0.94779601,80.18209076,0.05408366,-0.407826096,0.013916398,-0.045678709
0.306546674,0.951855628,81.79785156,0.05408366,-0.407826096,0.013916398,-0.047275048
0.294164401,0.955754835,81.79785156,0.05179752,-0.396119624,0.014919317,-0.0494035
0.281732554,0.959492974,82.80770111,0.047828555,-0.370046109,0.015357235,-0.045678709
0.269253235,0.963069414,82.80770111,0.045978945,-0.372706652,0.015673213,-0.045678709
0.256728533,0.966483554,83.6155777,0.044199638,-0.378027797,0.015933204,-0.04408237
0.244160567,0.969734818,83.6155777,0.042520244,-0.38122046,0.016106956,-0.047275048
0.23155146,0.972822657,85.43331146,0.041029468,-0.368981868,0.01617136,-0.047807161
0.218903324,0.975746552,85.43331146,0.039598282,-0.361532301,0.016191671,-0.044614483
0.206218298,0.978506011,86.8470993,0.038381573,-0.352486372,0.016230775,-0.040357582
0.193498525,0.981100566,88.46286011,0.037336521,-0.343972564,0.016225124,-0.043550257
0.180746137,0.983529783,88.46286011,0.036370084,-0.341844112,0.016302472,-0.048339274
0.167963289,0.985793251,89.06877136,0.035616066,-0.333330303,0.016329436,-0.052064065
0.155152135,0.987890589,89.06877136,0.035014812,-0.320559591,0.016454106,-0.051531952
0.14231484,0.989821442,89.87664795,0.034582287,-0.307256788,0.016651949,-0.048871387
0.129453555,0.991585486,89.87664795,0.034321338,-0.28863284,0.016815076,-0.049935613
0.116570455,0.993182425,89.67468262,0.034190085,-0.257238179,0.016920116,-0.051531952
0.103667715,0.994611987,89.67468262,0.034155909,-0.231696784,0.017119093,-0.047807161
0.090747499,0.995873934,89.87664795,0.034057576,-0.218393967,0.017305631,-0.045678709
0.077811989,0.996968051,90.28058624,0.034081835,-0.204026923,0.01740893,-0.047275048
0.064863373,0.997894154,90.28058624,0.033987556,-0.192852542,0.017377529,-0.0536604
0.051903819,0.998652088,89.47270966,0.034060918,-0.18061395,0.017198758,-0.057917304
0.038935519,0.999241725,89.47270966,0.034277897,-0.151879862,0.017090116,-0.063238427
0.025960656,0.999662965,89.27073669,0.034570605,-0.115164071,0.017036317,-0.060577869
0.012981425,0.999915738,89.27073669,0.034736808,-0.088558435,0.017060136,-0.056853078
0,1,87.45301056,0.034471951,-0.083237305,0.01709483,-0.047275048
-0.012981425,0.999915738,87.45301056,0.033772949,-0.093879566,0.017030535,-0.045146596
-0.025960656,0.999662965,85.02937317,0.032585781,-0.107182384,0.017030919,-0.04408237
-0.038935519,0.999241725,84.42346191,0.031078668,-0.117824644,0.016906794,-0.040357582
-0.051903819,0.998652088,84.42346191,0.02923958,-0.128466889,0.016669339,-0.042486034
-0.064863373,0.997894154,83.00966644,0.02731977,-0.124742106,0.016387278,-0.046210822
-0.077811989,0.996968051,83.00966644,0.025344985,-0.122613654,0.015974028,-0.046210822
-0.090747499,0.995873934,81.39391327,0.023188002,-0.12899901,0.015464528,-0.053128287
-0.103667715,0.994611987,81.39391327,0.021021385,-0.14443028,0.014968432,-0.040889695
-0.116570455,0.993182425,80.18209076,0.018868579,-0.156136766,0.014343739,-0.03822913
-0.129453555,0.991585486,80.18209076,0.016767701,-0.160925776,0.013824077,-0.045678709
-0.14231484,0.989821442,77.55648041,0.014669479,-0.161457896,0.013541508,-0.048339274
-0.155152135,0.987890589,74.93087006,0.012567227,-0.166246906,0.01315551,-0.043018144
-0.167963289,0.985793251,74.93087006,0.010324524,-0.180081844,0.012741474,-0.038761243
-0.180746137,0.983529783,72.91117096,0.008105095,-0.198173672,0.012370354,-0.0286511
-0.193498525,0.981100566,72.91117096,0.005946395,-0.214669168,0.011999317,-0.019073069
-0.206218298,0.978506011,72.3052597,0.004069039,-0.22690776,0.011615226,-0.009495039
-0.218903324,0.975746552,72.3052597,0.00244073,-0.22690776,0.011314518,-0.003641798
-0.23155146,0.972822657,71.29541016,0.001274343,-0.22211875,0.011196435,0.004339894
-0.244160567,0.969734818,71.29541016,0.000345315,-0.217329741,0.011104153,0.015514264
-0.256728533,0.966483554,70.89147186,-0.000404284,-0.21679762,0.011028997,0.024028067
-0.269253235,0.963069414,70.6894989,-0.001031552,-0.212540716,0.011013743,0.027752858
-0.281732554,0.959492974,70.6894989,-0.001499209,-0.207751706,0.011156281,0.038927227
-0.294164401,0.955754835,69.67964935,-0.001835197,-0.199770018,0.011335184,0.04531258
-0.306546674,0.951855628,69.67964935,-0.001905837,-0.19125621,0.011614535,0.05063371
-0.318877286,0.94779601,69.27571106,-0.001843917,-0.183274522,0.011922202,0.055422727
-0.331154153,0.943576667,69.27571106,-0.001602222,-0.173696488,0.012168682,0.057551172
-0.343375219,0.939198306,68.26586151,-0.001389388,-0.171035916,0.012304472,0.056486946
-0.355538418,0.934661668,68.26586151,-0.001144626,-0.166246906,0.012407675,0.052230045
-0.367641694,0.929967518,68.06388855,-0.000926254,-0.161457896,0.012377814,0.051697932
-0.37968302,0.925116644,67.054039,-0.000689971,-0.160925776,0.012391395,0.047441032
-0.391660359,0.920109865,67.054039,-0.000553746,-0.160925776,0.012350002,0.046376806
-0.403571689,0.914948027,66.44812775,-0.000501756,-0.159265205,0.01238492,0.041587792
-0.415415012,0.909631996,66.44812775,-0.000560466,-0.157733098,0.012402016,0.042119902
-0.427188328,0.904162669,66.24616241,-0.000725616,-0.155604646,0.012380175,0.037863001
-0.438889652,0.898540969,66.24616241,-0.00090518,-0.152411968,0.0123048,0.036798775
-0.450517007,0.892767846,66.24616241,-0.001260125,-0.148687184,0.012223954,0.035202436
-0.462068444,0.886844267,66.24616241,-0.001679001,-0.14443028,0.012080675,0.031477649
-0.473542011,0.880771232,65.64025116,-0.002119788,-0.141769707,0.011976368,0.028284971
-0.48493577,0.874549769,64.42842865,-0.002671264,-0.137512818,0.011756253,0.02988131
-0.496247811,0.86818092,64.42842865,-0.003437774,-0.137512818,0.011564529,0.02988131
-0.507476221,0.861665762,63.4185791,-0.004389329,-0.141769707,0.01132955,0.027752858
-0.51861911,0.855005391,63.4185791,-0.005487432,-0.14975141,0.011123163,0.02456018
