Index_COS,Index_SIN,Force_heel,Position_thigh,Velocity_thigh,Position_torso,Velocity_torso
0.834971814,0.550292713,67.65995026,0.228669181,-0.802759051,0.018474339,-0.012081075
0.827934054,0.560825465,69.88162231,0.224801421,-0.775089204,0.018323475,-0.015805865
0.82076344,0.571268217,70.48753357,0.224801421,-0.727199078,0.018323475,-0.015805865
0.813461118,0.581619299,70.48753357,0.217993721,-0.669730902,0.018172197,-0.023787556
0.806028262,0.591877049,71.29541016,0.214887217,-0.620244384,0.018161187,-0.02272333
0.798466063,0.602039821,71.29541016,0.211997226,-0.577143252,0.018174943,-0.022191217
0.790775736,0.612105984,72.10328674,0.209288046,-0.543088019,0.018142125,-0.025383895
0.782958513,0.622073924,72.10328674,0.206726596,-0.527124643,0.018133277,-0.030172911
0.77501565,0.63194204,72.709198,0.204366878,-0.52393198,0.018047247,-0.035494037
0.766948422,0.641708749,72.709198,0.202165857,-0.528720975,0.017861513,-0.038686715
0.758758122,0.651372484,74.3249588,0.200163379,-0.535106361,0.017642768,-0.045604181
0.750446065,0.660931694,74.93087006,0.200163379,-0.552666068,0.017642768,-0.045604181
0.742013585,0.670384845,74.93087006,0.196423769,-0.588849723,0.017113464,-0.064228132
0.733462035,0.67973042,74.52693176,0.194665015,-0.600024104,0.016644817,-0.072741933
0.724792787,0.688966919,74.52693176,0.193014205,-0.597363532,0.016201627,-0.085512646
0.716007232,0.698092861,75.13284302,0.191193312,-0.594170868,0.015679561,-0.090301655
0.707106781,0.707106781,75.13284302,0.191193312,-0.597895622,0.015679561,-0.090301655
0.698092861,0.716007232,75.53678131,0.187401876,-0.603216767,0.014311534,-0.102008142
0.688966919,0.724792787,75.53678131,0.185249656,-0.606941581,0.013644542,-0.107861377
0.67973042,0.733462035,75.53678131,0.18304798,-0.603216767,0.012973643,-0.109989829
0.670384845,0.742013585,75.9407196,0.18304798,-0.590446055,0.012973643,-0.109989829
0.660931694,0.750446065,75.9407196,0.17869854,-0.579803824,0.011559873,-0.108925603
0.651372484,0.758758122,76.14269257,0.176803946,-0.556390822,0.010914068,-0.113182507
0.641708749,0.766948422,76.14269257,0.174947366,-0.537234783,0.010231508,-0.118503638
0.63194204,0.77501565,76.54663086,0.173437461,-0.50264746,0.00946557,-0.114246733
0.622073924,0.782958513,76.54663086,0.17215471,-0.466463804,0.008384411,-0.130210117
0.612105984,0.790775736,76.74859619,0.17215471,-0.45209676,0.008384411,-0.130210117
0.602039821,0.798466063,76.74859619,0.168574944,-0.421766341,0.005695563,-0.148301959
0.591877049,0.806028262,77.15254211,0.167149544,-0.422298431,0.004343501,-0.158944204
0.581619299,0.813461118,77.9604187,0.167149544,-0.453161001,0.004343501,-0.158944204
0.571268217,0.82076344,77.9604187,0.163730621,-0.469124377,0.001111789,-0.183953509
0.560825465,0.827934054,77.55648041,0.161678702,-0.479766607,-0.000402654,-0.190338865
0.550292713,0.834971814,77.55648041,0.159671277,-0.486151993,-0.001768857,-0.194595769
0.539671661,0.841875584,78.76830292,0.157413751,-0.490940988,-0.003087059,-0.199384779
0.528964008,0.848644259,78.76830292,0.155163601,-0.477638185,-0.004280949,-0.206834361
0.518171473,0.855276753,79.17224121,0.152830765,-0.460610569,-0.005361447,-0.209494919
0.507295788,0.861772002,79.17224121,0.152830765,-0.454757333,-0.005361447,-0.209494919
0.496338698,0.868128963,80.58602905,0.148035929,-0.469656467,-0.007483497,-0.211623371
0.485301961,0.874346617,82.20178986,0.148035929,-0.477638185,-0.007483497,-0.211623371
0.474187348,0.880423965,82.20178986,0.142593294,-0.481895089,-0.009124117,-0.206302255
0.462996643,0.886360033,83.81755066,0.142593294,-0.499454796,-0.009124117,-0.206302255
0.451731641,0.892153868,83.81755066,0.136229753,-0.541491687,-0.010374152,-0.206834361
0.440394151,0.89780454,84.82740021,0.13310723,-0.552133918,-0.010989273,-0.205238029
0.428985991,0.903311142,84.82740021,0.130060598,-0.542023778,-0.011652216,-0.205238029
0.417508992,0.908672791,85.2313385,0.127224326,-0.509032786,-0.012264289,-0.201513231
0.405964996,0.913888627,85.2313385,0.12435884,-0.48295927,-0.012746463,-0.195127875
0.394355855,0.918957812,86.24118805,0.121285729,-0.488812506,-0.013043674,-0.189274639
0.382683432,0.923879533,87.85694885,0.121285729,-0.491473079,-0.013043674,-0.189274639
0.370949601,0.928652999,87.85694885,0.115053646,-0.488812506,-0.013391232,-0.184485629
0.359156244,0.933277447,88.46286011,0.111793824,-0.488812506,-0.013464181,-0.181825057
0.347305253,0.937752132,88.46286011,0.10843236,-0.490408897,-0.013488328,-0.181825057
